"strain_1","strain_2","strain_3","name","media","init_OD","temperature","replicate","row","col","well","pH","anomalous","time","OD600","OD730","RFP","GFP","column"
"blank","blank","blank","Negative","LB",0.001,30,1,"A",1,"A1",7,"no",1200,0.155,0.146,49,3169,1
"blank","blank","blank","Negative","LB",0.001,30,2,"A",2,"A2",7,"no",1200,0.147,0.139,46,3188,2
"blank","blank","blank","Negative","LB",0.001,30,3,"A",3,"A3",7,"no",1200,0.154,0.146,52,3089,3
"blank","blank","blank","Negative","LB",0.001,30,4,"A",4,"A4",7,"no",1200,0.144,0.135,42,3209,4
"blank","blank","blank","Negative","BG11",0.001,30,1,"A",5,"A5",7.5,"no",1200,0.145,0.138,7,249,5
"blank","blank","blank","Negative","BG11",0.001,30,2,"A",6,"A6",7.5,"no",1200,0.157,0.15,8,218,6
"blank","blank","blank","Negative","BG11",0.001,30,3,"A",7,"A7",7.5,"no",1200,0.157,0.151,9,227,7
"blank","blank","blank","Negative","BG11",0.001,30,4,"A",8,"A8",7.5,"no",1200,0.154,0.148,8,231,8
"blank","blank","blank","Negative","LB + BG11",0.001,30,1,"A",9,"A9",7.2,"no",1200,0.146,0.139,32,1761,9
"blank","blank","blank","Negative","LB + BG11",0.001,30,2,"A",10,"A10",7.2,"no",1200,0.148,0.141,29,1742,10
"blank","blank","blank","Negative","LB + BG11",0.001,30,3,"A",11,"A11",7.2,"no",1200,0.159,0.151,29,1744,11
"blank","blank","blank","Negative","LB + BG11",0.001,30,4,"A",12,"A12",7.2,"no",1200,0.159,0.151,32,1730,12
"S.oneidensis","blank","blank","So","LB",0.001,30,1,"B",1,"B1",7,"no",1200,0.147,0.138,48,3200,1
"S.oneidensis","blank","blank","So","LB",0.001,30,2,"B",2,"B2",7,"no",1200,0.146,0.137,56,3227,2
"S.oneidensis","blank","blank","So","LB",0.001,30,3,"B",3,"B3",7,"no",1200,0.148,0.14,52,3112,3
"S.oneidensis","blank","blank","So","LB",0.001,30,4,"B",4,"B4",7,"no",1200,0.153,0.144,57,3206,4
"S.oneidensis","blank","blank","So","BG11",0.001,30,1,"B",5,"B5",7.5,"no",1200,0.152,0.147,8,286,5
"S.oneidensis","blank","blank","So","BG11",0.001,30,2,"B",6,"B6",7.5,"no",1200,0.152,0.146,8,271,6
"S.oneidensis","blank","blank","So","BG11",0.001,30,3,"B",7,"B7",7.5,"no",1200,0.153,0.148,3,270,7
"S.oneidensis","blank","blank","So","BG11",0.001,30,4,"B",8,"B8",7.5,"no",1200,0.157,0.152,4,256,8
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,1,"B",9,"B9",7.2,"no",1200,0.159,0.152,31,1749,9
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,2,"B",10,"B10",7.2,"no",1200,0.151,0.145,29,1755,10
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,3,"B",11,"B11",7.2,"no",1200,0.156,0.15,31,1738,11
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,4,"B",12,"B12",7.2,"no",1200,0.161,0.154,28,1740,12
"P.pudita","blank","blank","Pp","LB",0.001,30,1,"C",1,"C1",7,"no",1200,0.146,0.137,55,3145,1
"P.pudita","blank","blank","Pp","LB",0.001,30,2,"C",2,"C2",7,"no",1200,0.148,0.139,54,3241,2
"P.pudita","blank","blank","Pp","LB",0.001,30,3,"C",3,"C3",7,"no",1200,0.146,0.137,64,3137,3
"P.pudita","blank","blank","Pp","LB",0.001,30,4,"C",4,"C4",7,"no",1200,0.153,0.144,51,3165,4
"P.pudita","blank","blank","Pp","BG11",0.001,30,1,"C",5,"C5",7.5,"no",1200,0.149,0.14,7,267,5
"P.pudita","blank","blank","Pp","BG11",0.001,30,2,"C",6,"C6",7.5,"no",1200,0.145,0.14,5,269,6
"P.pudita","blank","blank","Pp","BG11",0.001,30,3,"C",7,"C7",7.5,"no",1200,0.156,0.15,7,262,7
"P.pudita","blank","blank","Pp","BG11",0.001,30,4,"C",8,"C8",7.5,"no",1200,0.153,0.149,7,272,8
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,1,"C",9,"C9",7.2,"no",1200,0.149,0.142,29,1759,9
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,2,"C",10,"C10",7.2,"no",1200,0.162,0.154,28,1758,10
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,3,"C",11,"C11",7.2,"no",1200,0.159,0.154,32,1802,11
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,4,"C",12,"C12",7.2,"no",1200,0.159,0.151,29,1757,12
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,1,"D",1,"D1",7,"no",1200,0.147,0.138,44,3132,1
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,2,"D",2,"D2",7,"yes",1200,0.144,0.134,54,3159,2
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,3,"D",3,"D3",7,"no",1200,0.15,0.141,52,3182,3
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,4,"D",4,"D4",7,"no",1200,0.148,0.141,51,3186,4
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,1,"D",5,"D5",7.5,"no",1200,0.156,0.15,5,218,5
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,2,"D",6,"D6",7.5,"no",1200,0.141,0.136,12,219,6
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,3,"D",7,"D7",7.5,"no",1200,0.155,0.15,5,224,7
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,4,"D",8,"D8",7.5,"no",1200,0.146,0.141,10,227,8
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,1,"D",9,"D9",7.2,"no",1200,0.15,0.143,27,1711,9
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,2,"D",10,"D10",7.2,"no",1200,0.158,0.151,26,1748,10
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,3,"D",11,"D11",7.2,"no",1200,0.153,0.146,31,1721,11
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,4,"D",12,"D12",7.2,"no",1200,0.155,0.148,30,1746,12
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,1,"E",1,"E1",7,"no",1200,0.144,0.135,48,3091,1
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,2,"E",2,"E2",7,"no",1200,0.146,0.137,50,3138,2
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,3,"E",3,"E3",7,"no",1200,0.152,0.143,56,3188,3
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,4,"E",4,"E4",7,"no",1200,0.143,0.134,52,3172,4
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,1,"E",5,"E5",7.5,"no",1200,0.145,0.14,8,244,5
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,2,"E",6,"E6",7.5,"no",1200,0.146,0.14,5,265,6
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,3,"E",7,"E7",7.5,"no",1200,0.149,0.144,7,259,7
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,4,"E",8,"E8",7.5,"no",1200,0.172,0.167,6,237,8
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,1,"E",9,"E9",7.2,"no",1200,0.165,0.158,64,1853,9
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,2,"E",10,"E10",7.2,"no",1200,0.165,0.158,31,1768,10
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,3,"E",11,"E11",7.2,"no",1200,0.167,0.159,33,1767,11
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,4,"E",12,"E12",7.2,"no",1200,0.168,0.16,28,1743,12
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,1,"F",1,"F1",7,"no",1200,0.144,0.134,53,3053,1
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,2,"F",2,"F2",7,"no",1200,0.149,0.139,52,3129,2
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,3,"F",3,"F3",7,"no",1200,0.148,0.139,52,3088,3
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,4,"F",4,"F4",7,"no",1200,0.16,0.148,47,3122,4
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,1,"F",5,"F5",7.5,"no",1200,0.146,0.14,5,235,5
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,2,"F",6,"F6",7.5,"no",1200,0.146,0.141,8,239,6
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,3,"F",7,"F7",7.5,"no",1200,0.162,0.158,6,251,7
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,4,"F",8,"F8",7.5,"no",1200,0.164,0.159,7,278,8
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,1,"F",9,"F9",7.2,"no",1200,0.155,0.148,29,1743,9
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,2,"F",10,"F10",7.2,"no",1200,0.17,0.163,27,1732,10
